  ID   i   j   k    SD_emb    T_BE       M_BE  FWHM_pc   xi_max contr_rho   peak_exc  contrast detect hole       rho_c    rho_edge     rho_emb      r0_AU   R_out_AU  R_cloud_AU      N_tot    a_BE  stab
  46   1   7   5  4.24e+21   8.607     1.3733   0.0214  25.4736   379.091  2.561e+22     7.036      1    0  3.1255e-18  8.2448e-21  1.1929e-21     723.60   18432.64   552979.06 2.5766e+22    1.49  deep
  47   1   7   6  4.24e+21   9.320     1.3733   0.0350  11.9741    65.748  2.052e+22     5.837      1    0  1.1564e-18  1.7588e-20  1.4835e-21    1237.88   14822.43   444672.90 1.7473e+22    1.15 super
  48   1   7   7  4.24e+21  10.165     1.3733   0.0572   6.2455    12.982  1.346e+22     4.173      1    0  3.8997e-19  3.0038e-20  1.5816e-21    2226.12   13903.11   417093.21 1.1705e+22    1.00   sub
  49   1   7   8  4.24e+21  11.061     1.3733   0.0936   3.8357     4.439  7.296e+21     2.720      1    0  1.1954e-19  2.6927e-20  1.3667e-21    4194.45   16088.50   482654.88 8.0278e+21    1.20   sub
  50   1   7   9  4.24e+21  11.861     1.3733   0.1529   2.5813     2.334  3.304e+21     1.779      1    0  3.1474e-20  1.3483e-20  1.0064e-21    8464.48   21848.95   655468.45 5.9144e+21    1.88   sub
  51   1   7  10  4.24e+21  12.372     1.3733   0.2500   1.8529     1.634  1.353e+21     1.319      1    0  7.6347e-21  4.6713e-21  6.7606e-22   17553.04   32524.79   975743.57 4.9215e+21    3.40   sub
  52   1   8   6  4.24e+21   9.225     3.2375   0.0350  36.4194   796.904  2.178e+22     6.133      1    0  1.2345e-18  1.5491e-21  5.0652e-22    1191.98   43411.05  1302331.39 1.8341e+22    1.61  deep
  53   1   8   7  4.24e+21   9.863     3.2375   0.0572  18.4154   184.114  1.628e+22     4.838      1    0  5.0527e-19  2.7443e-21  6.1979e-22    1926.51   35477.49  1064324.63 1.3423e+22    1.34  deep
  54   1   8   8  4.24e+21  10.638     3.2375   0.0936   8.7433    29.926  1.014e+22     3.391      1    0  1.7107e-19  5.7164e-21  7.3138e-22    3438.57   30064.50   901935.08 9.5409e+21    1.04 super
  55   1   8   9  4.24e+21  11.374     3.2375   0.1529   5.0593     7.929  5.633e+21     2.328      1    0  5.6006e-20  7.0633e-21  6.9945e-22    6213.79   31437.22   943116.63 7.1027e+21    1.03   sub
  56   1   8  10  4.24e+21  12.011     3.2375   0.2500   3.2985     3.379  2.697e+21     1.636      1    0  1.5941e-20  4.7183e-21  5.5696e-22   11969.10   39479.91  1184397.31 5.5977e+21    1.37   sub
