# Injection truth table -- cmf2.00_n600_s2031_flat  seed=2031
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.0949 M_sun
# 1 of 600 draws discarded: the background column of the real source drawn lies outside every embedding rung
# 599 cores assigned to 71 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.0949 versus 0.0643 M_sun, median |log10 ratio| 0.175 dex
# drawn contrast versus node contrast at the drawn column: median 1.220 versus 1.238, median |log10 ratio| 0.011 dex
# drawn observed size versus node size FWHMSDbs: median 40.1 versus 41.4 arcsec, median |log10 ratio| 0.063 dex
# target background column: median 4.93e+21 cm^-2 (5th 3.08e+21, 95th 1.34e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.67 +/- 0.11  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.51 +/- 0.16  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  122  i01j06k08       923    370    3.628e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  123  i01j06k08       317    808    4.041e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  124  i01j06k08       850    218    3.689e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  125  i01j06k08       700    108    3.569e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  126  i01j06k08       795     57    3.188e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  127  i01j06k08       625    929    3.771e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  128  i01j06k08       709     46    3.199e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  129  i01j06k08       754    326    4.116e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  130  i01j06k08       408    814    4.069e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  131  i01j06k08       908    865    4.236e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  132  i01j06k08       623    116    3.838e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  133  i01j06k08       893    364    3.608e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  134  i01j06k08       671     54    3.205e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  135  i01j06k08       905    192    2.609e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  136  i01j06k08       906    103    2.697e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  137  i01j06k08       833    300    3.553e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  138  i01j06k08       677    893    3.912e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  139  i01j06k08       188    914    3.831e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  140  i01j06k08       732    296    3.842e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  141  i01j06k08       671    142    4.033e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  142  i01j06k08       671    925    3.816e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  143  i01j06k08       640     88    3.832e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  144  i01j06k08       802    326    3.508e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  145  i01j06k08       755    272    3.413e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  146  i01j06k08       783    110    3.547e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  147  i01j06k08       647    903    3.823e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  148  i01j06k08       730     86    3.196e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  149  i01j06k08       633    147    3.835e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  150  i01j06k08       861    350    3.855e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  151  i01j06k08       596    150    3.849e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  152  i01j06k08       894    320    3.040e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  153  i01j06k08       856    150    3.368e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  154  i01j06k08       669    100    3.717e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  155  i01j06k08       926    334    3.208e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  156  i01j06k08       829    266    3.507e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  157  i01j06k08       355    798    4.143e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  158  i01j06k08       894    285    2.892e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  159  i01j06k08       834    332    3.827e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  160  i01j06k08       875    198    3.550e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  161  i01j06k08       438    839    4.127e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
