! Date: 14/08/2026  Time: 20:22:17  Created by RADMC3D compiled on Aug 14 2026 12:46    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 1.19813277E+01
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
  129  9.9790835E+04  4.8379297E-01  3.8381091E+02  1.4146720E+21  1.1893598E-01  1.0000000E-99  1.0000000E-99
  130  1.0057017E+05  4.8757124E-01  3.8680834E+02  1.4132926E+21  1.2106889E-01  1.0000000E-99  1.0000000E-99
  131  1.0134950E+05  4.9134950E-01  3.8980578E+02  1.4119010E+21  1.2322696E-01  1.0000000E-99  1.0000000E-99
  132  1.0212884E+05  4.9512777E-01  3.9280322E+02  1.4104972E+21  1.2541045E-01  1.0000000E-99  1.0000000E-99
  133  1.0290817E+05  4.9890603E-01  3.9580066E+02  1.4090813E+21  1.2761960E-01  1.0000000E-99  1.0000000E-99
  134  1.0368751E+05  5.0268430E-01  3.9879810E+02  1.4076532E+21  1.2985466E-01  1.0000000E-99  1.0000000E-99
  135  1.0446684E+05  5.0646257E-01  4.0179553E+02  1.4062129E+21  1.3211589E-01  1.0000000E-99  1.0000000E-99
  136  1.0524617E+05  5.1024083E-01  4.0479297E+02  1.4047602E+21  1.3440355E-01  1.0000000E-99  1.0000000E-99
  137  1.0602551E+05  5.1401910E-01  4.0779041E+02  1.4032953E+21  1.3671790E-01  1.0000000E-99  1.0000000E-99
  138  1.0680484E+05  5.1779736E-01  4.1078785E+02  1.4018180E+21  1.3905923E-01  1.0000000E-99  1.0000000E-99
  139  1.0758417E+05  5.2157563E-01  4.1378529E+02  1.4003282E+21  1.4142779E-01  1.0000000E-99  1.0000000E-99
  140  1.0836351E+05  5.2535389E-01  4.1678273E+02  1.3988261E+21  1.4382388E-01  1.0000000E-99  1.0000000E-99
  141  1.0914284E+05  5.2913216E-01  4.1978016E+02  1.3973115E+21  1.4624777E-01  1.0000000E-99  1.0000000E-99
  142  1.0992218E+05  5.3291042E-01  4.2277760E+02  1.3957843E+21  1.4869976E-01  1.0000000E-99  1.0000000E-99
  143  1.1070151E+05  5.3668869E-01  4.2577504E+02  1.3942446E+21  1.5118015E-01  1.0000000E-99  1.0000000E-99
  144  1.1148084E+05  5.4046696E-01  4.2877248E+02  1.3926923E+21  1.5368922E-01  1.0000000E-99  1.0000000E-99
  145  1.1226018E+05  5.4424522E-01  4.3176992E+02  1.3911273E+21  1.5622729E-01  1.0000000E-99  1.0000000E-99
  146  1.1303951E+05  5.4802349E-01  4.3476735E+02  1.3895497E+21  1.5879467E-01  1.0000000E-99  1.0000000E-99
  147  1.1381885E+05  5.5180175E-01  4.3776479E+02  1.3879593E+21  1.6139167E-01  1.0000000E-99  1.0000000E-99
  148  1.1459818E+05  5.5558002E-01  4.4076223E+02  1.3863562E+21  1.6401862E-01  1.0000000E-99  1.0000000E-99
  149  1.1537751E+05  5.5935828E-01  4.4375967E+02  1.3847402E+21  1.6667584E-01  1.0000000E-99  1.0000000E-99
  150  1.1615685E+05  5.6313655E-01  4.4675711E+02  1.3831114E+21  1.6936367E-01  1.0000000E-99  1.0000000E-99
  151  1.1693618E+05  5.6691481E-01  4.4975455E+02  1.3814697E+21  1.7208245E-01  1.0000000E-99  1.0000000E-99
  152  1.1771552E+05  5.7069308E-01  4.5275198E+02  1.3798150E+21  1.7483251E-01  1.0000000E-99  1.0000000E-99
  153  1.1849485E+05  5.7447135E-01  4.5574942E+02  1.3781473E+21  1.7761423E-01  1.0000000E-99  1.0000000E-99
  154  1.1927418E+05  5.7824961E-01  4.5874686E+02  1.3764665E+21  1.8042794E-01  1.0000000E-99  1.0000000E-99
  155  1.2005352E+05  5.8202788E-01  4.6174430E+02  1.3747727E+21  1.8327403E-01  1.0000000E-99  1.0000000E-99
