# Injection truth table -- cmf2.00_n400_s2026  seed=2026
# sep_criterion=90.0"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  scale
#-------------------------------------------------------------------------------------------------------
  200  i01j05k06       648    858    4.044e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  201  i01j05k06       654     36    3.189e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  202  i01j05k06       328    690    4.296e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  203  i01j05k06       935    384    4.377e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  204  i01j05k06       941    193    3.000e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  205  i01j05k06       346    867    4.376e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  206  i01j05k06       521     35    4.215e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  207  i01j05k06       155    941    4.148e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  208  i01j05k06       577    638    4.352e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  209  i01j05k06       162    891    4.143e+21    3.000e+21   12.83    9.354e-20  0.0444    15.98  1
  210  i02j09k02        36    881    6.855e+21    6.000e+21    7.10    4.816e-17  0.2472    15.23  1
  211  i02j09k02       773    756    6.346e+21    6.000e+21    7.10    4.816e-17  0.2472    15.23  1
  212  i02j09k02       434     36    7.498e+21    6.000e+21    7.10    4.816e-17  0.2472    15.23  1
  213  i02j09k02       858    542    8.769e+21    6.000e+21    7.10    4.816e-17  0.2472    15.23  1
  214  i03j09k04       540    524    1.285e+22    1.200e+22    8.01    5.863e-18  0.2472    12.21  1
  215  i03j09k04       742    445    1.351e+22    1.200e+22    8.01    5.863e-18  0.2472    12.21  1
  216  i03j09k04       519    309    1.418e+22    1.200e+22    8.01    5.863e-18  0.2472    12.21  1
  217  i03j09k04       647    427    1.383e+22    1.200e+22    8.01    5.863e-18  0.2472    12.21  1
  218  i03j09k04       608    509    1.220e+22    1.200e+22    8.01    5.863e-18  0.2472    12.21  1
  219  i03j09k04        88    610    1.409e+22    1.200e+22    8.01    5.863e-18  0.2472    12.21  1
  220  i04j08k01       366    342    2.665e+22    2.400e+22    6.71    1.277e-16  0.1610    10.90  1
  221  i03j08k01       482    492    1.475e+22    1.200e+22    6.74    1.331e-16  0.1610    10.88  1
  222  i02j08k01       246    649    6.166e+21    6.000e+21    6.77    1.322e-16  0.1610    10.81  1
  223  i02j08k01       537    885    6.093e+21    6.000e+21    6.77    1.322e-16  0.1610    10.81  1
  224  i02j08k01       941    635    7.832e+21    6.000e+21    6.77    1.322e-16  0.1610    10.81  1
  225  i02j08k01       640    462    8.649e+21    6.000e+21    6.77    1.322e-16  0.1610    10.81  1
  226  i03j05k05       706    450    1.242e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  227  i03j05k05       174    321    1.246e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  228  i03j05k05       758    522    1.775e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  229  i03j05k05        74    217    1.483e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  230  i03j05k05        95    311    1.543e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  231  i03j05k05       254    469    1.535e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  232  i03j05k05       685    412    1.194e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  233  i03j05k05        51    171    1.188e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  234  i03j05k05       400    342    1.273e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  235  i03j05k05       561    347    1.338e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  236  i03j05k05       221     73    1.425e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  237  i03j05k05       480    458    1.643e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  238  i03j05k05       131    422    1.288e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  239  i03j05k05       127    118    1.264e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  240  i03j05k05       753    481    1.644e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  241  i03j05k05       241    349    1.571e+22    1.200e+22    9.61    4.005e-19  0.0444    10.10  1
  242  i01j08k02       552    573    4.292e+21    3.000e+21    7.17    4.552e-17  0.1610     8.79  1
  243  i01j08k02       754    274    3.302e+21    3.000e+21    7.17    4.552e-17  0.1610     8.79  1
  244  i01j08k02       274    676    4.264e+21    3.000e+21    7.17    4.552e-17  0.1610     8.79  1
  245  i01j08k02       812    408    4.268e+21    3.000e+21    7.17    4.552e-17  0.1610     8.79  1
  246  i01j08k02       206    796    4.218e+21    3.000e+21    7.17    4.552e-17  0.1610     8.79  1
  247  i01j08k02       588    941    3.716e+21    3.000e+21    7.17    4.552e-17  0.1610     8.79  1
  248  i04j06k04       221    482    2.555e+22    2.400e+22    8.09    2.541e-18  0.0682     6.95  1
  249  i04j06k04       184    552    2.451e+22    2.400e+22    8.09    2.541e-18  0.0682     6.95  1
  250  i04j06k04       179    193    2.477e+22    2.400e+22    8.09    2.541e-18  0.0682     6.95  1
  251  i04j05k04       497    428    2.502e+22    2.400e+22    8.25    1.730e-18  0.0444     6.49  1
  252  i03j07k01       425     97    1.263e+22    1.200e+22    6.78    1.189e-16  0.1048     6.23  1
  253  i01j07k01       605    845    4.259e+21    3.000e+21    6.82    1.188e-16  0.1049     6.17  1
  254  i01j07k01       922    820    4.266e+21    3.000e+21    6.82    1.188e-16  0.1049     6.17  1
  255  i01j07k01       718    820    4.233e+21    3.000e+21    6.82    1.188e-16  0.1049     6.17  1
  256  i01j07k01       519    941    4.259e+21    3.000e+21    6.82    1.188e-16  0.1049     6.17  1
  257  i04j07k03       199    299    2.414e+22    2.400e+22    7.45    1.283e-17  0.1048     6.13  1
  258  i02j07k02       625    606    6.474e+21    6.000e+21    7.22    4.116e-17  0.1048     5.54  1
  259  i02j07k02       414    140    8.237e+21    6.000e+21    7.22    4.116e-17  0.1048     5.54  1
  260  i02j07k02       712    381    7.509e+21    6.000e+21    7.22    4.116e-17  0.1048     5.54  1
  261  i02j07k02       739    863    6.245e+21    6.000e+21    7.22    4.116e-17  0.1048     5.54  1
