! Date: 08/09/2026  Time: 12:05:46  Created by RADMC3D compiled on Jul 23 2026 22:03    
! Alexander Men’shchikov, DAp IRFU CEA Saclay, France                         
!
! RADIAL PROFILES OF SURFACE DENSITIES (cm^-2)
!
! Distance (pc): 2.60000000E+02  Mass-averaged Tdust (K): 6.31113857E+00
!
!   N   RADIUS(au)     RADIUS(pc)     RADIUS(as)      PROFILE        SLOPE          PROFILEBS      SLOPEBS
!
  185  1.5283267E+04  7.4094349E-02  5.8781795E+01  1.9112834E+23  8.8939375E-03  1.0000000E-99  1.0000000E-99
  186  1.5366320E+04  7.4496997E-02  5.9101231E+01  1.9111882E+23  8.9930915E-03  1.0000000E-99  1.0000000E-99
  187  1.5449373E+04  7.4899645E-02  5.9420666E+01  1.9110924E+23  9.0928099E-03  1.0000000E-99  1.0000000E-99
  188  1.5532427E+04  7.5302294E-02  5.9740102E+01  1.9109961E+23  9.1930931E-03  1.0000000E-99  1.0000000E-99
  189  1.5615480E+04  7.5704942E-02  6.0059538E+01  1.9108994E+23  9.2939413E-03  1.0000000E-99  1.0000000E-99
  190  1.5698533E+04  7.6107590E-02  6.0378973E+01  1.9108021E+23  9.3953550E-03  1.0000000E-99  1.0000000E-99
  191  1.5781586E+04  7.6510238E-02  6.0698409E+01  1.9107042E+23  9.4973344E-03  1.0000000E-99  1.0000000E-99
  192  1.5864640E+04  7.6912886E-02  6.1017845E+01  1.9106059E+23  9.5998800E-03  1.0000000E-99  1.0000000E-99
  193  1.5947693E+04  7.7315534E-02  6.1337281E+01  1.9105070E+23  9.7029919E-03  1.0000000E-99  1.0000000E-99
  194  1.6030746E+04  7.7718183E-02  6.1656716E+01  1.9104076E+23  9.8066707E-03  1.0000000E-99  1.0000000E-99
  195  1.6113800E+04  7.8120831E-02  6.1976152E+01  1.9103077E+23  9.9109165E-03  1.0000000E-99  1.0000000E-99
