ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_exc_bsl_hires,R_int_bsl_hires,R_ap2_hires,R_ap2_bsl_hires,R_ap3_hires,R_ap3_bsl_hires,theta_ap2,theta_ap3,R_peak_f1p2,R_exc_f1p2,R_int_f1p2,R_exc_bsl_f1p2,R_int_bsl_f1p2,R_ap2_f1p2,R_ap2_bsl_f1p2,R_ap3_f1p2,R_ap3_bsl_f1p2,R_peak18_f1p2,R_exc18_f1p2,R_int18_f1p2
1020,4,26,14,3e+21,1.9307,0.0731778,6.5829,4.939,70.6248,2118.75,211.875,66,0.603655,0.519071,0.665587,0.514685,0.653025,0.675578,0.662679,0.660715,0.648247,132,198,2.82011,3.30546,1.12459,3.27753,1.10337,1.15267,1.13067,1.08481,1.06434,2.92918,3.46761,1.1356
1021,4,26,15,3e+21,1.9307,0.0935603,5.0094,3.933,73.4985,2204.96,220.496,78,0.67455,0.58505,0.701437,0.578404,0.68684,0.697389,0.683002,0.684332,0.670378,156,209.471,1.42326,1.59854,1.07544,1.58038,1.05306,1.09577,1.07316,1.09071,1.06847,1.45516,1.64709,1.08085
1022,4,26,16,3e+21,1.9307,0.11962,3.9526,3.097,80.3406,2410.22,241.022,96,0.744834,0.653177,0.741279,0.64279,0.722925,0.721514,0.703817,0.711036,0.693774,192,228.971,1.08537,1.16722,1.03798,1.14866,1.01228,1.02468,0.999547,1.03684,1.01167,1.09841,1.18817,1.03831
1023,4,26,17,3e+21,1.9307,0.152938,3.2072,2.447,91.3406,2740.22,274.022,120,0.807177,0.717669,0.773642,0.701128,0.748894,0.740815,0.717533,0.733964,0.711063,240,260.321,0.994515,1.04746,0.990338,1.02332,0.958659,0.958864,0.92873,0.944201,0.914741,1.00046,1.0582,0.990339
1024,4,26,18,3e+21,1.9307,0.195537,2.6368,1.952,107.9,3237.01,323.701,156,0.856702,0.77306,0.799265,0.745939,0.763635,0.74676,0.714578,0.74676,0.714578,307.516,307.516,0.963458,1.00747,0.970444,0.972128,0.927184,0.851373,0.814683,0.851373,0.814683,0.965955,1.01295,0.970444
1025,4,26,19,3e+21,1.9307,0.25,2.2124,1.615,130.24,3907.2,390.72,198,0.888859,0.812426,0.814716,0.76832,0.761913,0.74184,0.696014,0.74184,0.696014,371.184,371.184,0.935784,0.954888,0.89397,0.903048,0.83603,0.757607,0.710807,0.757607,0.710807,0.936949,0.958132,0.89397
1026,4,27,9,3e+21,2.86512,0.02142,59.7507,9.759,167.796,5033.87,503.387,30,0.372198,0.307986,0.531935,0.306824,0.526108,0.650097,0.634046,0.694381,0.666625,60,90,0.903122,0.90121,0.942455,0.897811,0.932132,0.871777,0.850252,0.851983,0.817927,1.08805,1.1116,0.973016
1027,4,27,10,3e+21,2.86512,0.0273861,50.1243,9.438,161.361,4840.83,484.083,30,0.386947,0.321985,0.531665,0.320723,0.526046,0.648352,0.633031,0.691982,0.665446,60,90,0.94398,0.946796,0.954096,0.943086,0.944012,0.880614,0.859804,0.860045,0.827064,1.11641,1.14441,0.984163
1028,4,27,11,3e+21,2.86512,0.0350141,31.9152,8.412,142.93,4287.91,428.791,36,0.43328,0.365416,0.566139,0.363782,0.559514,0.667136,0.649649,0.701599,0.672186,72,108,1.10255,1.12711,0.988604,1.12207,0.977035,0.909433,0.885595,0.884012,0.846952,1.24675,1.29739,1.01046
1029,4,27,12,3e+21,2.86512,0.0447667,21.9102,7.438,127.348,3820.45,382.045,42,0.478181,0.406929,0.59805,0.40483,0.590131,0.683144,0.66355,0.704284,0.674748,84,126,1.23901,1.28865,1.01052,1.282,0.997142,0.970171,0.942344,0.916662,0.878219,1.35639,1.43183,1.02593
1030,4,27,13,3e+21,2.86512,0.0572357,14.2878,6.27,112.08,3362.39,336.239,54,0.536731,0.460735,0.641013,0.457828,0.63056,0.700055,0.677566,0.697778,0.675145,108,162,1.44476,1.54492,1.02788,1.53517,1.01112,1.02417,0.991273,0.998428,0.966043,1.53367,1.65945,1.03599
1031,4,27,14,3e+21,2.86512,0.0731778,10.3078,5.337,103.835,3115.04,311.504,66,0.588702,0.508323,0.672877,0.504422,0.659871,0.705587,0.685926,0.693524,0.67427,132,198,1.70898,1.89257,1.03187,1.87805,1.01193,1.01078,0.982617,0.979259,0.952073,1.77927,1.9894,1.03782
1032,4,27,15,3e+21,2.86512,0.0935603,7.4607,4.376,100.103,3003.1,300.31,78,0.649894,0.564762,0.700909,0.559189,0.685353,0.713298,0.694842,0.697567,0.679657,156,234,2.86932,3.45295,1.03059,3.41888,1.00771,1.0029,0.976947,0.959074,0.93445,2.94056,3.56514,1.03584
1033,4,27,16,3e+21,2.86512,0.11962,5.6236,3.526,102.036,3061.08,306.108,96,0.714494,0.626302,0.730713,0.618037,0.711323,0.727374,0.70788,0.705566,0.686973,192,288,1.15746,1.25362,0.995226,1.23707,0.968817,0.947845,0.922442,0.93823,0.913506,1.17375,1.27849,0.992225
1034,4,27,17,3e+21,2.86512,0.152938,4.3903,2.814,109.582,3287.45,328.745,126,0.776428,0.68787,0.764802,0.675222,0.741053,0.740046,0.717297,0.724241,0.7023,252,312.308,1.01063,1.06159,0.963546,1.04207,0.933626,0.892963,0.865513,0.888363,0.86145,1.01802,1.07377,0.963685
1035,4,27,18,3e+21,2.86512,0.195537,3.532,2.258,122.91,3687.31,368.731,156,0.829485,0.74423,0.789281,0.724486,0.758483,0.750834,0.722081,0.739133,0.711157,312,350.294,0.967363,1.00431,0.931015,0.977666,0.894685,0.857845,0.824994,0.830226,0.798803,0.970805,1.01082,0.931015
1036,4,27,19,3e+21,2.86512,0.25,2.8988,1.84,143.062,4291.86,429.186,198,0.869357,0.789522,0.808661,0.758126,0.765951,0.748465,0.71032,0.744196,0.706444,396,407.726,0.940903,0.962738,0.89762,0.924454,0.850212,0.786853,0.746752,0.780218,0.740638,0.942346,0.966056,0.89762
1037,4,28,11,3e+21,4.25179,0.0350141,58.8381,8.843,235.787,7073.6,525.3,36,0.419632,0.354006,0.569282,0.352511,0.562538,0.675488,0.657338,0.717006,0.685467,72,108,0.999418,1.0079,0.963875,1.00364,0.952456,0.902005,0.877769,0.851636,0.814175,1.1459,1.17758,0.984887
1038,4,28,12,3e+21,4.25179,0.0447667,37.6741,7.641,211.377,6341.31,525.3,42,0.474948,0.405543,0.601547,0.403516,0.593637,0.691928,0.671774,0.726161,0.691747,84,126,1.10177,1.12685,0.987535,1.12122,0.974549,0.866139,0.84091,0.820106,0.781239,1.20992,1.25605,0.999486
1039,4,28,13,3e+21,4.25179,0.0572357,25.2349,6.559,187.832,5634.96,525.3,54,0.528222,0.454641,0.643376,0.451922,0.632928,0.71549,0.689908,0.737282,0.696238,108,162,1.20382,1.25538,1.01061,1.24787,0.994198,0.907743,0.875286,0.83274,0.786381,1.28276,1.35372,1.01793
1040,4,28,14,3e+21,4.25179,0.0731778,17.7541,5.654,168.671,5060.12,506.012,60,0.576222,0.498487,0.663164,0.494922,0.651506,0.72577,0.698877,0.736629,0.700126,120,180,1.3741,1.47207,1.00854,1.46155,0.990806,0.954094,0.91874,0.871376,0.828197,1.43496,1.55212,1.01453
