# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 34961 rows from 21 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   1.0787766   3.472967e+20   0.9989420    0.004410   1.0002618   -0.002428     0.92612        1  i01j27k10
   1.0785800   3.473767e+20   0.9979848    0.005615   1.0002657   -0.002459     0.92634        1  i01j27k10
   1.0782545   3.474959e+20   0.9959585    0.008371   1.0002375   -0.002155     0.92666        1  i01j27k10
   1.0777515   3.476702e+20   0.9924794    0.013414   1.0002799   -0.002565     0.92712        1  i01j27k10
   1.0771631   3.478699e+20   0.9877590    0.019926   1.0001412   -0.001116     0.92765        1  i01j27k10
   1.0764291   3.481153e+20   0.9823559    0.027939   1.0002450   -0.002144     0.92831        1  i01j27k10
   1.0757105   3.483552e+20   0.9776233    0.034494   1.0000888   -0.000523     0.92895        1  i01j27k10
   1.0749955   3.485921e+20   0.9745040    0.039162   1.0001595   -0.001228     0.92958        1  i01j27k10
   1.0748922   3.486266e+20   0.9738475    0.040075   1.0001348   -0.000971     0.92967        1  i01j27k10
   1.0752888   3.484950e+20   0.9757955    0.037224   1.0001290   -0.000923     0.92932        1  i01j27k10
   1.0760818   3.482313e+20   0.9798425    0.031410   1.0001587   -0.001247     0.92862        1  i01j27k10
   1.0768034   3.479904e+20   0.9850595    0.023952   1.0002057   -0.001759     0.92797        1  i01j27k10
   1.0774854   3.477612e+20   0.9902672    0.016375   1.0001722   -0.001448     0.92736        1  i01j27k10
   1.0780132   3.475800e+20   0.9943949    0.010679   1.0002819   -0.002598     0.92688        1  i01j27k10
   1.0784416   3.474287e+20   0.9971445    0.006691   1.0002303   -0.002090     0.92648        1  i01j27k10
   1.0786926   3.473325e+20   0.9985621    0.004892   1.0002763   -0.002571     0.92622        1  i01j27k10
   1.0788294   3.472705e+20   0.9991728    0.004137   1.0002533   -0.002344     0.92605        1  i01j27k10
   1.0788738   3.472362e+20   0.9993698    0.003897   1.0002534   -0.002346     0.92596        1  i01j27k10
   1.0789093   3.472023e+20   0.9994214    0.003679   1.0002472   -0.002287     0.92587        0  i01j27k10
