# MODFITS = Modify FITS Image & Header = Aug 18 2026 20:57    
# Alexander Men’shchikov, DAp IRFU CEA Saclay, France.
# Using CFITSIO library version 4.010 by William D Pence.
#
# AZIMUTHALLY-AVERAGED RADIAL PROFILE EXTRACTED FROM IMAGE: thin.+hires.r250.cfg.00.surfden.fits
# ABOUT CENTRAL POSITION (X1,Y1): 182,182 (PIXELS)
# TOTAL VALUE:  4.2376165E+26
# TOTAL STDEV:  4.4646868E+22
#
# TABULATED QUANTITIES:
#
#   N ........ Radial coordinate in pixels
#   ARCSEC ... Radial coordinate in acseconds
#   ARCSECM .. Radial coordinate in acseconds (zero in the middle)
#   VALUE .... Azimuthally-averaged image value at radial coordinate
#   STDEV .... Azimuthal standard deviations of image values
#   SLOPE .... Logarithmic slope of the radial profile
#
#   N      ARCSEC        ARCSECM         VALUE          STDEV          SLOPE
#
  126   3.7500000E+02  0.0000000E+00  4.0182436E+21  4.2785765E+17  5.0753502E-02
  127   3.7800000E+02  0.0000000E+00  4.0169666E+21  3.2332502E+17  5.0753502E-02
  128   3.8100000E+02  0.0000000E+00  4.0159667E+21  2.5744529E+17  4.6968464E-02
  129   3.8400000E+02  0.0000000E+00  4.0152312E+21  1.7982246E+17  3.9890214E-02
  130   3.8700000E+02  0.0000000E+00  4.0147398E+21  1.1456860E+17  3.1491127E-02
  131   3.9000000E+02  0.0000000E+00  4.0144002E+21  8.6066363E+16  2.3353828E-02
  132   3.9300000E+02  0.0000000E+00  4.0141447E+21  6.6554652E+16  1.5727385E-02
  133   3.9600000E+02  0.0000000E+00  4.0139232E+21  6.4144476E+16  1.0954882E-02
  134   3.9900000E+02  0.0000000E+00  4.0137106E+21  6.1588865E+16  8.3052314E-03
  135   4.0200000E+02  0.0000000E+00  4.0135032E+21  5.9130001E+16  7.2555760E-03
  136   4.0500000E+02  0.0000000E+00  4.0132828E+21  6.8562798E+16  7.2555760E-03
  137   4.0800000E+02  0.0000000E+00  4.0130468E+21  7.0468018E+16  7.3869542E-03
  138   4.1100000E+02  0.0000000E+00  4.0127966E+21  7.5966201E+16  7.9664325E-03
  139   4.1400000E+02  0.0000000E+00  4.0125303E+21  7.9936696E+16  8.5116475E-03
  140   4.1700000E+02  0.0000000E+00  4.0122463E+21  8.5044860E+16  9.1236197E-03
  141   4.2000000E+02  0.0000000E+00  4.0119315E+21  9.9410308E+16  9.8031804E-03
  142   4.2300000E+02  0.0000000E+00  4.0115812E+21  1.0557227E+17  1.0947885E-02
  143   4.2600000E+02  0.0000000E+00  4.0111912E+21  1.2177089E+17  1.2267666E-02
  144   4.2900000E+02  0.0000000E+00  4.0107415E+21  1.4051721E+17  1.3756440E-02
  145   4.3200000E+02  0.0000000E+00  4.0102167E+21  1.6523326E+17  1.5977208E-02
  146   4.3500000E+02  0.0000000E+00  4.0096093E+21  1.9036216E+17  1.8776724E-02
  147   4.3800000E+02  0.0000000E+00  4.0089365E+21  1.9678912E+17  2.1889126E-02
  148   4.4100000E+02  0.0000000E+00  4.0082519E+21  1.9445136E+17  2.4415441E-02
  149   4.4400000E+02  0.0000000E+00  4.0075958E+21  1.7898716E+17  2.4415441E-02
  150   4.4700000E+02  0.0000000E+00  4.0070449E+21  1.3220576E+17  2.4415441E-02
  151   4.5000000E+02  0.0000000E+00  4.0066752E+21  7.6915979E+16  2.4146649E-02
