ID,i,j,k,SD_emb,M_BE,FWHM_pc,xi_max,contrast,R_out_as,R_cloud_as,theta_bg,theta_int,R_peak_hires,R_exc_hires,R_int_hires,R_peak_scale,R_exc_scale,R_int_scale
133,1,21,3,3.75e+20,0.26827,0.00490394,25.0979,57.78,16.5618,496.854,49.6853,18,0.225048,0.211882,0.350989,0.308225,0.29562,0.487688
134,1,21,4,3.75e+20,0.26827,0.00626986,18.7222,59.468,15.1907,455.721,45.5721,18,0.226809,0.213569,0.334868,0.312638,0.298684,0.48228
135,1,21,5,3.75e+20,0.26827,0.00801622,12.4607,60.634,13.5789,407.368,40.7368,18,0.226581,0.21294,0.321576,0.316382,0.299263,0.444762
136,1,21,6,3.75e+20,0.26827,0.010249,8.747,59.956,12.6764,380.292,38.0292,18,0.233949,0.219662,0.310456,0.339095,0.323764,0.465094
137,1,21,7,3.75e+20,0.26827,0.0131037,6.4839,57.494,12.4509,373.528,37.3528,18,0.248122,0.233198,0.314633,0.373062,0.363661,0.539655
138,1,21,8,3.75e+20,0.26827,0.0167535,4.8482,52.688,12.892,386.76,38.676,24,0.277155,0.26171,0.385948,0.387221,0.349301,0.218042
139,1,21,9,3.75e+20,0.26827,0.02142,3.7768,46.115,13.986,419.578,41.9579,24,0.322666,0.306591,0.432993,0.426938,0.408487,0.56606
140,1,21,10,3.75e+20,0.26827,0.0273861,2.985,37.815,15.8483,475.448,47.5448,24,0.385191,0.367899,0.488702,0.498324,0.482151,0.607675
141,1,21,11,3.75e+20,0.26827,0.0350141,2.3826,28.699,18.6664,559.992,55.9992,30,0.480026,0.460859,0.599487,0.607186,0.592556,0.73727
142,1,21,12,3.75e+20,0.26827,0.0447667,1.917,20.201,22.7025,681.075,68.1075,36,0.597347,0.576098,0.708298,0.728511,0.715125,0.793957
143,1,21,13,3.75e+20,0.26827,0.0572357,1.5846,13.86,27.8622,835.865,83.5866,48,0.71451,0.691978,0.808066,0.763487,0.746625,0.752805
144,1,21,14,3.75e+20,0.26827,0.0731778,1.3775,9.183,35.0337,1051.01,105.101,60,0.816831,0.79386,0.881535,0.891482,0.880564,0.800043
145,1,21,15,3.75e+20,0.26827,0.0935603,1.2051,6.174,44.0327,1320.98,132.098,72,0.893194,0.871675,0.930457,1.30782,1.37055,0.839476
