# Lookup table for correcting hires column density.  One row per pixel.
# A pixel of a real map is corrected by finding the rows whose observables
# (columns 2 to 6) most resemble its own and reading off C_N.
#
# 20283 rows from 6 models
#
#  1 C_N       -      true column / hires column: the answer
#  2 N_HIRES   cm^-2  final hires column of the pixel
#  3 RES_N     -      column at 18.2" / column at 36.3"
#  4 RES_T     K      temperature at 18.2" - at 36.3"
#  5 SHP_N     -      column from 350-500 / from all bands
#  6 SHP_T     K      the corresponding difference
#  7 CONTRAST  -      hires column / cloud level of the stamp
#  8 IN_CORE   -      1 if inside a true footprint mask
#  9 NODE      -      model the pixel came from
#
#        C_N        N_HIRES       RES_N       RES_T       SHP_N       SHP_T    CONTRAST  IN_CORE  NODE
   1.3113797   3.762509e+21   1.1252369    0.134167   1.0872055   -0.463939     0.62708        1  i05j10k01
   1.3055734   3.701623e+21   1.1349831    0.171027   1.0865069   -0.462674     0.61694        1  i05j10k01
   1.2917597   3.627573e+21   1.1470214    0.225388   1.0854052   -0.460105     0.60460        1  i05j10k01
   1.2751393   3.519358e+21   1.1592327    0.298654   1.0838263   -0.455680     0.58656        1  i05j10k01
   1.2381794   3.415603e+21   1.1682013    0.391022   1.0819780   -0.450303     0.56927        1  i05j10k01
   1.1851343   3.289489e+21   1.1691402    0.500065   1.0802403   -0.445848     0.54825        1  i05j10k01
   1.1237270   3.098555e+21   1.1558101    0.620418   1.0784503   -0.441311     0.51643        1  i05j10k01
   1.0620736   2.797435e+21   1.1205794    0.745950   1.0760061   -0.433212     0.46624        1  i05j10k01
   1.0084171   2.358285e+21   1.0564103    0.870604   1.0730600   -0.422135     0.39305        1  i05j10k01
   0.9728790   1.796466e+21   0.9599758    0.987543   1.0703050   -0.411834     0.29941        1  i05j10k01
   0.9641505   1.528561e+21   0.9072727    1.034626   1.0695676   -0.409968     0.25476        1  i05j10k01
   0.9910978   2.150432e+21   1.0221645    0.918570   1.0716311   -0.416150     0.35841        1  i05j10k01
   1.0425029   2.670137e+21   1.1026504    0.787993   1.0744977   -0.426569     0.44502        1  i05j10k01
   1.1075250   3.037651e+21   1.1493374    0.651243   1.0775377   -0.437612     0.50628        1  i05j10k01
   1.1758796   3.270064e+21   1.1683149    0.516467   1.0800784   -0.445692     0.54501        1  i05j10k01
   1.2381794   3.415603e+21   1.1682013    0.391022   1.0819780   -0.450303     0.56927        1  i05j10k01
   1.2818632   3.535607e+21   1.1569393    0.281837   1.0838051   -0.454728     0.58927        1  i05j10k01
   1.3027888   3.661429e+21   1.1404879    0.193633   1.0857076   -0.459892     0.61024        1  i05j10k01
   1.3130933   3.772778e+21   1.1231656    0.127086   1.0873247   -0.464075     0.62880        1  i05j10k01
   1.3154758   3.870459e+21   1.1078278    0.080098   1.0884622   -0.466477     0.64508        1  i05j10k01
   1.3213025   3.925975e+21   1.0960921    0.049643   1.0891912   -0.467643     0.65433        1  i05j10k01
   1.3214336   3.968776e+21   1.0887403    0.032935   1.0896942   -0.468621     0.66146        1  i05j10k01
   1.3228266   3.978969e+21   1.0862336    0.027672   1.0898873   -0.469068     0.66316        1  i05j10k01
   1.3214336   3.968776e+21   1.0887403    0.032935   1.0896942   -0.468621     0.66146        1  i05j10k01
   1.3213025   3.925975e+21   1.0960921    0.049643   1.0891912   -0.467643     0.65433        1  i05j10k01
   1.3154758   3.870459e+21   1.1078278    0.080098   1.0884622   -0.466477     0.64508        1  i05j10k01
   1.3130933   3.772778e+21   1.1231656    0.127086   1.0873247   -0.464075     0.62880        1  i05j10k01
   1.3027888   3.661429e+21   1.1404879    0.193633   1.0857076   -0.459892     0.61024        1  i05j10k01
   1.2818632   3.535607e+21   1.1569393    0.281837   1.0838051   -0.454728     0.58927        1  i05j10k01
   1.2381794   3.415603e+21   1.1682013    0.391022   1.0819780   -0.450303     0.56927        1  i05j10k01
   1.1758796   3.270064e+21   1.1683149    0.516467   1.0800784   -0.445692     0.54501        1  i05j10k01
   1.1075250   3.037651e+21   1.1493374    0.651243   1.0775377   -0.437612     0.50628        1  i05j10k01
   1.0425029   2.670137e+21   1.1026504    0.787993   1.0744977   -0.426569     0.44502        1  i05j10k01
   0.9910978   2.150432e+21   1.0221645    0.918570   1.0716311   -0.416150     0.35841        1  i05j10k01
   0.9641505   1.528561e+21   0.9072727    1.034626   1.0695676   -0.409968     0.25476        1  i05j10k01
   0.9713589   1.829567e+21   0.9656088    0.981026   1.0710539   -0.415893     0.30493        1  i05j10k01
   1.0140654   2.436921e+21   1.0679051    0.852791   1.0732178   -0.422204     0.40615        1  i05j10k01
   1.0773031   2.899488e+21   1.1328927    0.710890   1.0761595   -0.432531     0.48325        1  i05j10k01
   1.1504864   3.199338e+21   1.1640780    0.565062   1.0792552   -0.443332     0.53322        1  i05j10k01
   1.2204143   3.384977e+21   1.1696923    0.424834   1.0818562   -0.451199     0.56416        1  i05j10k01
   1.2751393   3.519358e+21   1.1592327    0.298654   1.0838263   -0.455680     0.58656        1  i05j10k01
   1.3027888   3.661429e+21   1.1404879    0.193633   1.0857076   -0.459892     0.61024        1  i05j10k01
   1.3159918   3.794626e+21   1.1189298    0.113188   1.0876344   -0.464705     0.63244        1  i05j10k01
   1.3219911   3.909753e+21   1.0983444    0.055926   1.0892621   -0.468518     0.65163        1  i05j10k01
   1.3233310   4.006346e+21   1.0810802    0.017788   1.0904147   -0.470656     0.66772        1  i05j10k01
   1.3250540   4.072974e+21   1.0683128   -0.005631   1.0911586   -0.471648     0.67883        1  i05j10k01
   1.3292477   4.103979e+21   1.0604875   -0.017899   1.0916633   -0.472481     0.68400        1  i05j10k01
   1.3283354   4.121709e+21   1.0578496   -0.021657   1.0918550   -0.472866     0.68695        1  i05j10k01
   1.3292477   4.103979e+21   1.0604875   -0.017899   1.0916633   -0.472481     0.68400        1  i05j10k01
   1.3250540   4.072974e+21   1.0683128   -0.005631   1.0911586   -0.471648     0.67883        1  i05j10k01
   1.3233310   4.006346e+21   1.0810802    0.017788   1.0904147   -0.470656     0.66772        1  i05j10k01
   1.3219911   3.909753e+21   1.0983444    0.055926   1.0892621   -0.468518     0.65163        1  i05j10k01
   1.3159918   3.794626e+21   1.1189298    0.113188   1.0876344   -0.464705     0.63244        1  i05j10k01
   1.3027888   3.661429e+21   1.1404879    0.193633   1.0857076   -0.459892     0.61024        1  i05j10k01
   1.2751393   3.519358e+21   1.1592327    0.298654   1.0838263   -0.455680     0.58656        1  i05j10k01
   1.2204143   3.384977e+21   1.1696923    0.424834   1.0818562   -0.451199     0.56416        1  i05j10k01
   1.1504864   3.199338e+21   1.1640780    0.565062   1.0792552   -0.443332     0.53322        1  i05j10k01
   1.0773031   2.899488e+21   1.1328927    0.710890   1.0761595   -0.432531     0.48325        1  i05j10k01
   1.0140654   2.436921e+21   1.0679051    0.852791   1.0732178   -0.422204     0.40615        1  i05j10k01
   0.9713589   1.829567e+21   0.9656088    0.981026   1.0710539   -0.415893     0.30493        1  i05j10k01
   0.9609794   1.400756e+21   0.8802999    1.054218   1.0699328   -0.413241     0.23346        1  i05j10k01
   0.9831700   2.077100e+21   1.0094204    0.933065   1.0723558   -0.421062     0.34618        1  i05j10k01
   1.0374865   2.653337e+21   1.0995942    0.794566   1.0746007   -0.427437     0.44222        1  i05j10k01
   1.1096247   3.058348e+21   1.1510106    0.643687   1.0775991   -0.437624     0.50972        1  i05j10k01
   1.1867876   3.307658e+21   1.1695677    0.491593   1.0807379   -0.448175     0.55128        1  i05j10k01
   1.2545096   3.467372e+21   1.1649581    0.349114   1.0833829   -0.455799     0.57790        1  i05j10k01
   1.2917597   3.627573e+21   1.1470214    0.225388   1.0854052   -0.460105     0.60460        1  i05j10k01
   1.3130933   3.772778e+21   1.1231656    0.127086   1.0873247   -0.464075     0.62880        1  i05j10k01
   1.3219911   3.909753e+21   1.0983444    0.055926   1.0892621   -0.468518     0.65163        1  i05j10k01
   1.3264315   4.025795e+21   1.0758917    0.008363   1.0908933   -0.471975     0.67097        1  i05j10k01
   1.3294068   4.118647e+21   1.0577274   -0.021307   1.0920486   -0.473828     0.68644        1  i05j10k01
   1.3341984   4.181102e+21   1.0446486   -0.038455   1.0927983   -0.474631     0.69685        1  i05j10k01
   1.3388248   4.217131e+21   1.0368113   -0.046991   1.0933011   -0.475315     0.70286        1  i05j10k01
   1.3399841   4.231403e+21   1.0341958   -0.049522   1.0934904   -0.475639     0.70523        1  i05j10k01
   1.3388248   4.217131e+21   1.0368113   -0.046991   1.0933011   -0.475315     0.70286        1  i05j10k01
   1.3341984   4.181102e+21   1.0446486   -0.038455   1.0927983   -0.474631     0.69685        1  i05j10k01
   1.3294068   4.118647e+21   1.0577274   -0.021307   1.0920486   -0.473828     0.68644        1  i05j10k01
   1.3264315   4.025795e+21   1.0758917    0.008363   1.0908933   -0.471975     0.67097        1  i05j10k01
   1.3219911   3.909753e+21   1.0983444    0.055926   1.0892621   -0.468518     0.65163        1  i05j10k01
   1.3130933   3.772778e+21   1.1231656    0.127086   1.0873247   -0.464075     0.62880        1  i05j10k01
