! Calibration harvest for the correction of hires surface density images.
! One block per model node.  The header line of a block gives the node name and
! log10 of the background surface density in cm^-2; the following lines give
! log10 of the contrast, the median of the factor that restores the true
! surface density, and the number of pixels.
! Opacity used: kappa_0 = 9.3057882 cm^2 per gram of dust at 1000 GHz.
!
NODE i01j01k01                  14.19464
       1.0875     1.00506        76
       1.1125     1.00526        76
       1.1375     1.00558        92
       1.1625     1.00589        72
       1.1875     1.00592        96
       1.2125     1.00614        88
       1.2375     1.00682       112
       1.2625     1.00625        88
       1.2875     1.00652       108
       1.3125     1.00666       120
       1.3375     1.00658       144
       1.3625     1.00657       140
       1.3875     1.00650       168
       1.4125     1.00650       168
       1.4375     1.00659       204
       1.4625     1.00702       224
       1.4875     1.00834       244
       1.5125     1.01354       220
       1.5375     1.03115       180
       1.5625     1.06788       128
       1.5875     1.11260        84
       1.6125     1.15607        29
NODE i01j05k05                  20.11596
       0.0125     1.03619        60
       0.0375     1.03386        16
       0.0625     1.02851         8
       0.0875     1.03062        28
       0.1125     1.03576         8
       0.1375     1.02783        24
       0.1625     1.02834        24
       0.1875     1.02775        28
       0.2125     1.02453        32
       0.2375     1.02373        44
       0.2625     1.02319        40
       0.2875     1.02259        56
       0.3125     1.01945        68
       0.3375     1.02218        92
       0.3625     1.01882       104
       0.3875     1.01847       148
       0.4125     1.01861       224
       0.4375     1.01519       264
       0.4625     1.01261       284
       0.4875     1.00916       348
       0.5125     1.00706       364
       0.5375     1.00633       424
       0.5625     1.00673       440
       0.5875     1.01411       292
       0.6125     1.04086       152
       0.6375     1.07768        88
       0.6625     1.11545        61
NODE i01j05k06                  20.52500
       0.0125     1.01779       112
       0.0375     1.01234       108
       0.0625     1.00907       184
       0.0875     1.00727       352
       0.1125     1.00622       684
       0.1375     1.00587       764
       0.1625     1.00566       784
       0.1875     1.00864       408
       0.2125     1.02746       164
       0.2375     1.05620        92
       0.2625     1.08540        64
       0.2875     1.10072         5
NODE i01j05k07                  20.61800
       0.0125     1.00663       272
       0.0375     1.00548       656
       0.0625     1.00541      1304
       0.0875     1.00536      1000
       0.1125     1.01258       248
       0.1375     1.03056       120
       0.1625     1.05187        76
       0.1875     1.06929        45
NODE i01j06k01                  14.92317
       0.0125     0.86746        60
       0.2125     0.88814         8
       0.2625     0.89959        16
       0.4375     0.92621         8
       0.5125     0.90460         8
       0.5375     0.91100        12
       0.6625     0.96184         8
       0.7375     0.93779         8
       0.7875     0.91963        16
       0.8625     0.99339         8
       0.9375     0.98999         8
       0.9875     0.96394         8
       1.0375     0.92775        12
       1.0625     0.99961         8
       1.1375     0.99714         8
       1.2125     0.99232         8
       1.2625     0.98628        16
       1.2875     0.95186         8
       1.3375     1.00176         8
       1.4125     1.00019         8
       1.4375     1.00324         8
       1.4625     0.99493         8
       1.4875     0.99170         8
       1.5375     1.00354         8
       1.6125     1.00304        16
       1.6625     1.00082         8
       1.7125     1.00156        16
       1.7375     0.99802         8
       1.7875     1.00294         8
       1.8125     1.00375         8
       1.8625     1.00331         8
       1.8875     1.00331         8
       1.9125     1.00294         8
       1.9375     1.00300        16
       1.9875     1.00366         8
       2.0625     1.00318        24
       2.1125     1.00423         8
       2.1375     1.00442         8
       2.1625     1.00399        16
NODE i01j06k02                  16.29736
       0.0125     1.00053        60
       0.1875     1.00104         8
       0.2125     1.00195         8
       0.2375     1.00159         8
       0.3875     1.00100         8
       0.4375     1.00140         8
       0.4625     1.00312        12
       0.5875     1.00174         8
       0.6375     1.00139         8
       0.6625     1.00260         8
       0.6875     1.00201         8
       0.7625     1.00053         8
       0.8125     1.00212         8
       0.8625     1.00260         8
       0.8875     1.00157        12
       0.9375     1.00146         8
       1.0125     1.00095         8
       1.0375     1.00333         8
       1.0875     1.00235        16
       1.1125     1.00085         8
       1.1625     1.00186         8
       1.2375     1.00219         8
       1.2625     1.00152        16
       1.2875     1.00313        12
       1.3375     1.00131         8
       1.3875     1.00217        16
       1.4375     1.00129         8
       1.4625     1.00388         8
       1.4875     1.00194        16
       1.5375     1.00142        16
       1.5875     1.00223         8
       1.6125     1.00168         8
       1.6375     1.00284         8
       1.6625     1.00279        20
       1.6875     1.00243         8
       1.7375     1.00078         8
       1.7625     1.00110        16
       1.7875     1.00377         8
       1.8375     1.00295        24
       1.8625     1.00081        16
       1.8875     1.00166         8
       1.9375     1.00330         8
       1.9625     1.00134        16
       1.9875     1.00223        16
       2.0125     1.00261        12
       2.0375     1.00222         8
       2.0625     1.00130        16
       2.0875     1.00201        16
       2.1375     1.00166        16
