# Real Aquila sources used as the target distribution for the
# injection test.  Written by build_joint_target_v3.py from
#   Aquila-Guoyin/Aquila.sw.sources.ok.cat
#   Aquila-Guoyin/Aquila.sw.sources.ok.add.cat
# Assumed distance 260 pc.  1030 sources.
#
# Columns
#   1 M_reported   reported SED mass of the source          (M_sun)
#   2 Sigma_cloud  background column density, PEAK^BGF      (cm^-2)
#   3 contrast     PEAK^SBF / PEAK^BGF, exceeds unity       (-)
#   4 AFWHM_SD     major axis at half maximum in the        (arcsec)
#                  surface-density image at 13.5 arcsec
#
# M_reported   5th   0.008244  25th     0.0471  median      0.108  75th     0.3517  95th      2.361
# Sigma_cloud  5th  2.633e+21  25th  3.695e+21  median  5.036e+21  75th  8.258e+21  95th  1.925e+22
# contrast     5th      1.107  25th      1.166  median      1.235  75th      1.369  95th      1.799
# AFWHM_SD     5th      16.21  25th       28.6  median      37.78  75th      48.34  95th      75.54
#
#     M_reported    Sigma_cloud     contrast     AFWHM_SD
    4.436482e-02   2.892000e+21      1.27552       25.480
    5.544543e+00   8.259000e+21      1.46023       29.240
    1.072924e-01   3.833000e+21      1.15453       87.010
    1.190973e-01   3.962000e+21      1.31070       57.940
    8.908488e-02   6.192000e+21      1.41069       27.730
    6.561344e-01   1.579000e+22      1.66624       29.500
    2.581150e-01   1.003000e+22      1.44576       32.650
    6.441481e-02   3.342000e+21      1.12271       64.150
    7.025708e-02   5.417000e+21      1.18516       45.100
    5.128522e-02   2.391000e+21      1.26621       40.620
    1.582971e-01   4.861000e+21      1.28184       51.130
    6.391046e-02   3.998000e+21      1.14497       39.000
    1.092391e-01   5.072000e+21      1.29949       45.610
    3.171110e-01   7.742000e+21      1.96241       17.400
    2.560229e+00   2.180000e+22      2.03486       19.920
    4.747284e+00   1.924000e+22      1.65021       26.490
    1.872024e-01   6.817000e+21      1.45533       25.890
    6.831484e-01   1.168000e+22      1.58082       29.270
    1.333005e-01   7.671000e+21      1.29644       38.580
    2.463564e-01   1.031000e+22      1.41649       33.570
    5.345768e-02   4.500000e+21      1.32556       29.860
    7.520079e-01   6.963000e+21      1.23869       40.160
    1.742807e-02   2.732000e+21      1.26384       24.060
    2.217055e-01   4.948000e+21      1.45958       24.160
    2.792637e-01   5.556000e+21      1.21832       79.300
    3.894871e-01   4.465000e+21      1.52587       30.850
    4.066935e-01   1.342000e+22      1.43875       26.870
    2.190895e-01   4.183000e+21      1.56299       33.620
    6.779170e-01   9.134000e+21      1.37464       43.090
    9.429628e-02   3.785000e+21      1.26658       54.500
    1.808173e-02   2.983000e+21      1.24093       23.410
    9.433557e-02   3.989000e+21      1.23966       59.680
    1.423495e-01   6.313000e+21      1.63504       27.760
    5.172083e-02   4.295000e+21      1.17017       34.690
    4.575800e-02   3.853000e+21      1.14025       54.750
    2.345754e-03   3.548000e+21      1.28890       14.380
    7.380957e-02   3.602000e+21      1.17290       65.390
    7.060426e-02   2.502000e+21      1.18333      101.000
    9.248288e-02   5.939000e+21      1.26924       33.110
    7.754833e+00   2.525000e+22      1.74693       22.670
    2.400374e+00   1.176000e+22      1.36216       46.700
    1.222056e-01   1.134000e+22      1.62540       23.450
    4.876886e-02   4.575000e+21      1.21078       39.610
    3.400429e-01   6.960000e+21      1.26566       55.180
    2.919105e-01   6.997000e+21      1.19308       78.140
    8.477104e-02   4.775000e+21      1.22010       55.250
